FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
1240,1,0,0,0,24.914538,5.090304,0.384000,6.522880,0.674816,0.299202,13.409019,2.118359,0.051940,0.381000,0.023638,-16.829622,-3.417492,-2.175277,-2.159726,-2.137955,-1.663649
1241,1,0,0,0,24.931196,5.093376,0.393216,6.576128,0.675840,0.297335,13.336241,1.560078,0.051940,0.366382,0.020527,-16.895866,-3.488092,-2.555653,-2.539169,-2.517709,-1.959116
1242,1,0,0,0,24.947857,5.108736,0.403456,6.580224,0.677568,0.262501,13.424570,1.484811,0.061893,0.376024,0.020527,-16.801006,-3.489026,-2.666377,-2.649893,-2.628744,-2.053356
1243,1,0,0,0,24.964512,5.132288,0.380928,6.510592,0.676864,0.369492,13.344327,1.374710,0.063759,0.400905,0.026748,-16.902712,-3.485295,-2.327677,-2.292532,-2.267028,-1.373467
1244,1,0,0,0,24.981173,5.079040,0.384000,6.518784,0.674816,0.282717,13.354901,1.909976,0.064070,0.365760,0.025504,-16.790743,-3.494625,-2.420983,-2.385527,-2.364377,-1.789612
1245,1,0,0,0,24.997830,5.138432,0.378880,6.601728,0.673792,0.296713,13.325044,1.605798,0.053184,0.397795,0.024571,-16.818113,-3.482494,-2.578980,-2.559697,-2.533571,-1.917440
1246,1,0,0,0,25.014489,5.102592,0.382976,6.539264,0.675840,0.343366,13.325666,1.500051,0.050074,0.388464,0.022704,-16.750000,-3.493381,-2.382105,-2.365621,-2.341362,-1.698794
1247,1,0,0,0,25.031147,5.090304,0.380928,6.483968,0.675840,0.308843,13.322245,1.649030,0.059405,0.387220,0.020527,-16.788876,-3.489958,-2.309325,-2.284444,-2.262050,-1.616683
1248,1,0,0,0,25.047807,5.100544,0.380928,6.513664,0.673760,0.303245,13.308249,1.723364,0.106680,0.333725,0.024260,-16.783901,-3.492136,-2.249610,-2.222551,-2.200158,-1.612329
1249,1,0,0,0,25.064469,5.075968,0.379904,6.466560,0.671584,0.355807,13.320067,1.801119,0.053807,0.332792,0.028925,-16.780169,-3.481251,-2.257074,-2.201402,-2.172788,-1.519645
1250,1,0,0,0,25.081124,5.116928,0.386048,6.544384,0.676864,0.286761,13.147451,1.872031,0.053184,0.350209,0.027992,-16.666334,-3.486849,-2.323010,-2.304971,-2.277291,-1.499118
1251,1,0,0,0,25.097784,5.114880,0.379904,6.514688,0.674688,0.336213,12.840785,2.171233,0.062204,0.010264,0.024882,-16.147554,-3.487472,-2.465770,-2.447419,-2.424093,-0.225179
1252,1,0,0,0,25.114444,5.117952,0.385024,6.557696,0.678880,0.295158,13.145585,2.814734,0.049763,0.008087,0.032657,-16.280046,-3.487782,-1.946987,-1.917751,-1.880429,-0.493278
1253,1,0,0,0,25.131098,5.136384,0.401408,6.577152,0.677792,0.358917,13.419594,2.894666,0.073712,0.361717,0.029858,-16.533218,-3.453570,-2.273559,-2.251787,-2.228772,-1.319659
